epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7154,0.82203,2.20522,1.21576,0.71066,0.58435,0.71455,0.51216,0.99629,2.08326,1.5149,0.000410354,0.000410354,0.000410354
2,43.3603,0.89184,1.46,1.2199,0.79192,0.70501,0.81282,0.57314,0.95057,1.6953,1.46332,0.000772437,0.000772437,0.000772437
3,64.2725,0.92771,1.36919,1.24552,0.77892,0.63239,0.733,0.48926,1.13607,2.13102,1.60517,0.00107952,0.00107952,0.00107952
4,84.0866,0.94505,1.33261,1.26966,0.78802,0.64017,0.75165,0.51572,1.08714,1.64298,1.54001,0.0010025,0.0010025,0.0010025
5,104.598,0.93072,1.2191,1.23365,0.78506,0.65122,0.79638,0.58963,1.01167,1.57711,1.43727,0.00092,0.00092,0.00092
6,126.319,0.90591,1.39882,1.2854,0.78475,0.73608,0.82476,0.58287,1.00621,1.33246,1.4181,0.0008375,0.0008375,0.0008375
7,145.205,0.82401,1.19819,1.21823,0.79094,0.63468,0.72668,0.53442,1.06068,1.56945,1.48099,0.000755,0.000755,0.000755
8,164.924,0.787,1.06037,1.17863,0.88515,0.83017,0.89959,0.70853,0.97952,0.91957,1.55447,0.0006725,0.0006725,0.0006725
9,183.72,0.77605,0.9359,1.16084,0.91012,0.79934,0.90002,0.69854,0.98854,0.89904,1.48322,0.00059,0.00059,0.00059
10,203.398,0.72782,0.87618,1.13498,0.88599,0.80273,0.90198,0.71722,0.88234,1.07579,1.33085,0.0005075,0.0005075,0.0005075
11,222.02,0.70303,0.82645,1.10656,0.86915,0.80704,0.89436,0.71263,0.93161,1.02738,1.42226,0.000425,0.000425,0.000425
12,241.299,0.67235,0.74941,1.08489,0.90155,0.87425,0.93804,0.73943,0.97153,0.66483,1.37157,0.0003425,0.0003425,0.0003425
13,260.018,0.64889,0.688,1.07141,0.92213,0.86657,0.94231,0.76128,0.82001,0.64504,1.24841,0.00026,0.00026,0.00026
14,279.047,0.61158,0.65293,1.04231,0.92798,0.87364,0.94896,0.77682,0.88511,0.63943,1.36531,0.0001775,0.0001775,0.0001775
15,298.204,0.57354,0.60296,1.02042,0.93716,0.86052,0.94437,0.77242,0.85951,0.60115,1.36683,9.5e-05,9.5e-05,9.5e-05
